_id,Property Name,Reported,Tax Parcel,Property Type,Address,Year Built
1962,,Not Compliant,401847000,COLLEGE,264 -274 BROOKLINE AV,
1963,,Not Compliant,2205268080,COLLEGE,197 FOSTER ST,
1964,,Not Compliant,402248000,COLLEGE,10 GAINSBOROUGH ST,
1965,,Not Compliant,402222010,COLLEGE,450 -510 PARKER ST,
1966,,Not Compliant,402038000,COLLEGE,590 594 HUNTINGTON AV,
1967,,Not Compliant,401676000,COLLEGE,341 345 HUNTINGTON AV,
1968,,Not Compliant,305252000,COLLEGE,120 134 HARRISON AV,
1969,,Not Compliant,801030020,COLLEGE,610 ALBANY  ST,
1970,,Not Compliant,402129000,COLLEGE,416 HUNTINGTON AV,
1971,,Not Compliant,402037001,COLLEGE,610 -620 HUNTINGTON AV,
1972,,Not Compliant,401810000,COLLEGE,    EVANS WY,
1973,,Not Compliant,401847015,COLLEGE,45 AVENUE LOUIS PASTEUR ,
1610,Boston College   (BERDO),Reported,2102473001,College/University,140 Commonwealth Ave,1863
1713,Jordan Hall,Reported,402246001,College/University,290 Huntington Ave,1867
187,8 Fenway,Reported,401795000,College/University,8 The Fenway ,1890
8,Walker Building,Reported,500043011,College/University,120 Boylston St,1891
183,136 Mass Ave,Reported,401373001,College/University,150 Mass Ave,1900
1364,Main College Building,Submitted with possible data errors,401842000,College/University,300 The Fenway,1901
692,Smith Hall,Reported,401728000,College/University,125 Hemenway Street,1902
1450,622-640 Commonwealth Avenue,Reported,2100348000,College/University,622-640 Commonwealth Avenue,1902
1354,North Hall,Reported,402012000,College/University,86 Pilgrim Road,1903
1359,South Hall,Reported,402012000,College/University,321 Brookline Avenue,1903
1351,Main Campus,Reported,401842000,College/University,300 The Fenway,1904
1369,Alumnae Hall,Reported,402012000,College/University,321R Brookline Avenue,1904
1353,Residence Campus,Reported,,College/University,54 Pilgrim Road,1905
1501,Gordon Hall,Reported,401882000,College/University,25 Shattuck St,1905
1513,Tosteson Medical Education Center (TMEC),Reported,401882000,College/University,260 Longwood Ave,1905
1715,241 St. Botolph,Reported,402281000,College/University,241 St. Botolph Street,1905
689,Loftman Hall,Voluntary,,College/University,"163, 157, 153 Hemenway Street",1909
1458,64-86 Cummington Street,Reported,2100281000,College/University,64-86 Cummington Street,1909
1485,School of Dental Medicine,Reported,401882000,College/University,188 Longwood Ave,1909
685,Warehouse,Reported,1101222000,College/University,76 Atherton Street,1910
694,Columbus Place,Reported,901417000,College/University,716 Columbus Avenue,1910
1331,Wentworth Institute of Technology,Reported,,College/University,550 Huntington Ave.,1910
1497,160-164 Longwood,Reported,401882000,College/University,160-164 Longwood,1910
1502,HMS-641 Huntington,Reported,401882000,College/University,641 Huntington,1910
691,Kennedy Hall,Reported,401725000,College/University,115 Hemenway Street,1911
1409,111 Cummington Street (664-666 Comm. Ave),Reported,2100282000,College/University,111 Cummington Street (664-666 Comm. Ave),1911
690,780 Columbus Avenue,Reported,901364000,College/University,780 Columbus Avenue,1912
698,140 The Fenway,Reported,401706000,College/University,140 The Fenway,1912
1446,700 Beacon Street,Reported,504144000,College/University,700 Beacon Street,1917
